2024-06-05 19:29:47,089 INFO: ------------------------------------------------------------------------------------------------------------------------
2024-06-05 19:29:47,090 INFO: Starting processing.
2024-06-05 19:29:47,090 INFO: Loading tweets.
2024-06-05 19:29:47,689 INFO: 061854 tweets have being loaded.
2024-06-05 19:29:47,690 INFO: Processing tweets.
2024-06-05 19:29:47,692 INFO:     Preprocessing texts.
2024-06-05 19:29:47,757 INFO:           ['hubiera', 'hubierais', 'hubieran', 'hubieras', 'hubieron', 'hubiese']
2024-06-05 19:29:47,758 INFO:           ['hubieseis', 'hubiesen', 'hubieses', 'hubimos', 'hubiste', 'hubisteis']
2024-06-05 19:29:47,760 INFO:           ['hubiéramos', 'hubiésemos', 'hubo', 'igual', 'incluso', 'indicó']
2024-06-05 19:29:47,761 INFO:           ['informó', 'intenta', 'intentais', 'intentamos', 'intentan', 'intentar']
2024-06-05 19:29:47,762 INFO:           ['intentas', 'intento', 'junto', 'la', 'lado', 'largo']
2024-06-05 19:29:47,763 INFO:           ['las', 'le', 'les', 'llegó', 'lleva', 'llevar']
2024-06-05 19:29:47,765 INFO:           ['lo', 'los', 'luego', 'lugar', 'manera', 'manifestó']
2024-06-05 19:29:47,766 INFO:           ['mayor', 'me', 'mediante', 'mejor', 'mencionó', 'menos']
2024-06-05 19:29:47,767 INFO:           ['mi', 'mientras', 'mio', 'mis', 'misma', 'mismas']
2024-06-05 19:29:47,768 INFO:           ['mismo', 'mismos', 'modo', 'momento', 'mucha', 'muchas']
2024-06-05 19:29:47,769 INFO:           ['mucho', 'muchos', 'muy', 'más', 'mí', 'mía']
2024-06-05 19:29:47,771 INFO:           ['mías', 'mío', 'míos', 'nada', 'nadie', 'ni']
2024-06-05 19:29:47,772 INFO:           ['ninguna', 'ningunas', 'ninguno', 'ningunos', 'ningún', 'no']
2024-06-05 19:29:47,773 INFO:           ['nos', 'nosotras', 'nosotros', 'nuestra', 'nuestras', 'nuestro']
2024-06-05 19:29:47,774 INFO:           ['nuestros', 'nueva', 'nuevas', 'nuevo', 'nuevos', 'nunca']
2024-06-05 19:29:47,775 INFO:           ['o', 'ocho', 'os', 'otra', 'otras', 'otro']
2024-06-05 19:29:47,776 INFO:           ['otros', 'para', 'parece', 'parte', 'partir', 'pasada']
