|PCA|TSNE|PCA_TSNE
C_model|0.0|0.0|0.0
eps|0.105|0.0375|0.0225
min_samples|11.0|18.0|23.0
n_cluster|0.0|0.0|0.0
s_score|0.8093856738749369|0.2543160618557361|0.5857258600326444
a_score|10.0|9.98|60.57
p_scores|0.0 & 10.0|0.0 & 10.0|0.0 & 86.5 & 93.0 & 98.7 & 66.5 & 95.6 & 84.1 & 79.4 & 91.5 & 90.5 & 83.7 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0
n_clusters|2.0|2.0|2.0
