"";"full_text"
"1";"La manifestación contra Ayuso casualmente se produce la misma semana que el Gobierno se cepilla el delito de sedición para beneficiar a los golpistas catalanes.

Son expertos en manipular, desviar la atención y pastorearnos.

No mordamos el anzuelo de Moncloa."
"2";"Que quede claro: laPSOE no reforma nada. Simplemente elimina el delito de sedición para “liberar” a Puigdemont y sus secuaces y facilitar la violencia contra el orden constituido y la Nación. 

Se llama traición y complicidad con los golpistas. https://t.co/gGPneQOB3V"
"3";"Si no lo digo reviento: Tan valientes que somos para la necesaria reforma del delito de sedición, rebajando las penas, pero tan cobardes que seremos como para no ampliar los DDHH de las personas en la Ley Trans, algo que afecta en la vida diaria de miles de personas, lamentable."
"4";"Eliminar el delito de sedición es una vía indirecta de reforma contraria a la Constitución Española, ya que no castigaría con penas adecuadas la indivisibilidad de España, eliminado el fin “preventivo” de la pena, como amenaza que desmotiva al delincuente https://t.co/GxRd5KJevK"
"5";"@NunezFeijoo @JuanMa_Moreno @alferma1 @AlfonsoRuedaGal @IdiazAyuso @cucagamarra Pero si os va a venir muy bien que se toque el delito de malversación,  de que os quejáis, que te apuestas que si alguna vez llegáis al gobierno, esperemos que no, no revertis ni la sedición ni la malversación?. Lo que tienes que hacer es tapar la boca a la reina de las cañas."
"6";"El anuncio de Pedro Sánchez de eliminar del Código Penal el delito de sedición  hunde al PSOE e impulsa a Feijóo
La mayoría absoluta de PP estaría más que garantizada, gracias a un Feijóo que recuperará más de 3 millones de votos, está claro que en política no todo vale. https://t.co/b6n6ZlVjqx"
"7";"Iniciativas sensatas y liderazgo firme en un momento delicado para España, alejadas de huecas propuestas de otros.
#YoConFeijóo
https://t.co/O1bZurqDv0"
"8";"@populares @NunezFeijoo A los españoles nos importa una mierda que se modifique el delito de sedición. En realidad, nuestro código penal debería homologarse al de otros países avanzados."
"9";"La semana pasada el delito de SEDICIÓN, esta el de MALVERSACIÓN ¿Cuál será el siguiente? No te fíes de un Gobierno que miente todos los días. 
#psoETA 
#PSanchezMarionETA 
#GobiernoDeInutiles #SanchezDimiteElPuebloNoTeQuiere #QueTeVoteTxapote
#BuenasNochesTuiteros 
#TwitterOFF https://t.co/TaeJrEjtGn"
"10";"Impresionante Alsina. ¿Mejora la convivencia en Cataluña que se elimine el delito de sedición?
¿Mejora con la transformación de la malversación de fondos a los políticos?
¿Mejora con un espacio gubernamental en los informativos que no se pueda rebatir, como la sección del tiempo? https://t.co/WsNu88uXVE"
"11";"@hermanntertsch 

Para Feijoo es muy moderado hablar antes con el PNV, que está en la demolición de España y en la supresión del delito de sedición, que con VOX que acata la Constitución.

¿Es así esto? https://t.co/zXk2aK88YI"
