"";"full_text"
"1";"Las personas LGTBi deberán avisar de su orientación sexual al SEPE para ser prioritarias en las oficinas de empleo https://t.co/GeVmpRBzb7"
"2";"La Ley de Empleo que está preparando el PSOE junto a Yolanda Díaz obligará a los LGBT a identificarse como tales para poder tener prioridad en el acceso a puestos de trabajo por delante de los ciudadanos no LGBT. 

Dos despropósitos en uno. https://t.co/eoiFsp81tj"
"3";"Nueva polémica en el Ministerio de Trabajo: ¿la comunidad LGTBI tendrá prioridad a la hora de encontrar empleo? https://t.co/qFkESGKBx2 https://t.co/7XzNxhIsvB"
"4";"<U+0001F1EA><U+0001F1F8> | ÚLTIMA HORA | ESPAÑA | PERSONAS LGTBI | AVISAR | ORIENTACIÓN SEXUAL | SEPE 

<U+261D><U+FE0F>Las personas LGTBI deberán avisar de su orientación sexual al SEPE para ser prioritarias en las oficinas de empleo.

https://t.co/wjzmH7MrDQ"
"5";"@ZefierZ Vuestra inquisición LGTHIJK... os va a llevar a que la sociedad os rechace cada vez más. Y si se aprueba esto de la prioridad a los LGTBI  en el SEPE no os quejéis de que haya más homofobia."
"6";"LGTBI...y buscador activo de empleo son antónimos. Al SEPE solo van heteros..."
"7";"Las personas LGTBI tendrán prioridad buscando empleo si comunican al SEPE su condición sexual https://t.co/4SpF0EnBXn a través de @elliberal_com"
"8";"Nueva polémica en el Ministerio de Trabajo: ¿la comunidad LGTBI tendrá prioridad a la hora de encontrar empleo?, por @beagarciagom https://t.co/Zcf5XJq9DH a través de @libre_mercado"
"9";"@Mariablanco1969 @Miotroyo2parte Sí, es verdad. Salió en todos los medios.
https://t.co/7NEYPb1IRK"
"10";"En qué parte del currículum, va la condición sexual.

Nueva polémica en el Ministerio de Trabajo: ¿la comunidad LGTBI tendrá prioridad a la hora de encontrar empleo?, por @beagarciagom https://t.co/FrMxu0FHi1 vía @libre_mercado"
"11";"Cuando un LGTBI pase delante de un moro en el SEPE se va a liar gorda. Por cierto, y si su religión no le permite respetar al que se le ha colado."
"12";"Si es cierto eso   de que las personas LGTBI tienen que decirlo en le SEPE para tener prioridad me da la sensación que lo único que se puede conseguir es que nos tengan manía <U+0001F613> espero equivocarme u que tenga una explicación lógica"
"13";"El colectivo LGTBI+, uno de los prioritarios para buscar empleo: deberán avisar de su condición sexual al SEPE

https://t.co/g4UeyAbQMZ"
"14";"@leonpolitica21 No sus quejeis si es facil, cualquiera que vaya al SEPE debe declararse ,si o si , Lgtbi+ AAA y arreglado. A grandes retos, sencillas soluciones."
"15";"Nueva polémica en el Ministerio de Trabajo: ¿la comunidad LGTBI tendrá prioridad a la hora de encontrar empleo?, por @beagarciagom https://t.co/ebplI7XDoe a través de @libre_mercado"
"16";"@Khaos17022448 @msevillat @elespanolcom El SEPE no puede legalmente dar prioridad a ningún colectivo, ni siquiera el LGTBI. Le van a llover las demandas al SEPE por discriminación y no respetar la Constitución Española. Esto del SEPE es un brindis al sol del desgobierno sociata, como todo lo que hacen."
"17";"¿En serio?

#LGTBI #Sepe https://t.co/3imBSvoN4d"
"18";"Prioridad LGTBI en el empleo.

Destruye por completo la igualdad, además que cualquiera que no sea LGTBI puede decir que lo es para estar por delante ¿Cómo va a comprobar el SEPE que una persona es LGTBI? ¿Van a tener que llevar fotos, a sus parejas...? Es que no tiene sentido."
"19";"<U+0001F534> Artículo 14 de la Constitución española: “los españoles son iguales ante la ley, sin que pueda prevalecer discriminación alguna por razón de nacimiento, raza, sexo, religión, opinión o cualquier otra condición o circunstancia personal o social”.

 #LGTBI #SEPE https://t.co/OCOEX6IQ7k"
"20";"Pues España a las mujeres y a los homos se les trata como si fueran discapacitados. https://t.co/3QVtCiodLI https://t.co/qIIsFFTYTG"
"21";"Los memes de la noticia LGTBI del SEPE &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;"
"22";"Nueva polémica en el Ministerio de Trabajo: ¿la comunidad LGTBI tendrá prioridad a la hora de encontrar empleo?, por @beagarciagom https://t.co/m9cOgfZVCy vía @libre_mercado"
"23";"A ver, por favor

https://t.co/BJP7uEIXOP https://t.co/gepp3PCfiF"
"24";"Oficialmente para el SEPE: ser lgtbi+ es ser más discapacitado que ser mujer a la hora de encontrar trabajo. Ok, leyes y emociones."
"25";"¡ Ey Motomami !Aparte de ser información personal de cada uno, ¿cómo demuestran en el SEPE si están diciendo la verdad? Lo digo por apuntarme y tener también prioridad o más prioridad. https://t.co/yCeT8HgllY"
"26";"Nueva polémica en el Ministerio de Trabajo: ¿la comunidad LGTBI tendrá prioridad a la hora de encontrar empleo?, por @beagarciagom https://t.co/0VfgstcklY a través de @libre_mercado"
"27";"@marthamarco_ Vaya...pues esta parece ser mejor opción, no?...""no binaria""...o ""no binario""...¿se escribe con ""-A"" o con ""-O""? <U+0001F60F><U+0001F937><U+0001F3FC><U+200D><U+2640><U+FE0F><U+0001F937><U+0001F3FC><U+200D><U+2640><U+FE0F><U+0001F937><U+0001F3FC><U+200D><U+2640><U+FE0F>

https://t.co/sncTc4RjSB"
"28";"Si dices #EspañaPrimero o #LosEspañolesPrimero, eres facha o fascista!!
Si el #SEPE dice: ""Las personas LGTBI primero"" Perita, aquí no pasa ná.<U+0001F92C>

#SoloQuedaVox"
"29";"Las personas LGTBi+ pueden avisar de su orientación sexual al SEPE discretamente utilizando las expresiones ""pierdo aceite"" o ""me hace agua la canoa""."
"30";"Surreal. lo del gob. con las nuevas leyes y las modific.
No pasa nada si eres hombre y te metes en mi baño, ni si quieres declarar la repúbl. independ. de tu casa, ni si te declaras LGTBI para optar a polít. de acc. posit. del SEPE, y ahora, si malversas para tu cuñado, tampoco."
"31";"Los LGTB tendrán prioridad en el SEPE ara conseguir un empleo. Y hay quien dice todavía que esto es igualdad 
https://t.co/bi1Adij8AJ"
"32";"Interesante: SEPE: Trabajo pedirá acreditar la condición de LGTBI para ser beneficiario de sus políticas activas de empleo | Economía https://t.co/wi5osgGd9D, see more https://t.co/mwRYD56XP1"
"33";"@walter_garcia_ Van a hacer como en el SEPE en España que van a tener prioridad de empleo los colectivos LGTBI, la duda que me queda es si las pruebas para saber si lo eres o no serán teóricas o prácticas …"
"34";"@y_poch @ojalalynne Eso significa que si tu acudes a una asociación LGTBI y ellos tienen constancia de tu situación, el SEPE contacta con ellos para avisar cuando hay algún trabajo y demas"
"35";"@IgualdadLGBT En esa lucha si me encontrarías a tú lado ,aquí en España no.Tengo 43 y nunca he visto tanto adoctrinamiento y menos libertad para los gays,mi lucha es tú igualdad no tu diferencia,si no mira el SEPE si decís q sois del Lgtbi vais por delante q el resto,LA DESIGUALDAD LA HACES TÚ"
"36";"No solo las LGTB. Los inmigrantes y las ""minorias"" étnicas y religiosas también tendrán preferencia ¿vamos ya entendiendo que el enemigo del Sistema es el trabajador nacional, en especial si es hombre heterosexual?

https://t.co/g8ZJmxdE7N"
"37";"@RonCicer ¿Qué tiene un LGTBI que necesite prioridad en el SEPE?"
