"";"full_text"
"1";"<U+0001F534><U+0001F3A5> | Los jóvenes iraníes han improvisado diversas formas de protestar en Irán, desde mujeres que caminan sin velo a gritos desde las ventanas pasando por canciones protesta, y en los últimos días se ha impuesto una nuevo método: quitarle el turbante a los clérigos. https://t.co/JNPDaQHerG"
"2";"Las valientes mujeres iraníes siguen alzando sus banderas de LIBERTAD mientras El régimen iraní aprueba la pena de muerte a quienes protestan y a los casi 15mil detenidos de estos meses tras la muerte de #MashaAmani

El mundo entero debe rechazar este nuevo genocidio. https://t.co/koPlU58l2I"
"3";"Derechos en el mundo, en extinción:1) privacidad y la intimidad: adiós, los Estados Vigilan 2) libertad de expresión: reducido, censura previa o sanciones 3) salud: mejor rezar 4)libre tránsito: muy restringido 5) la protestas: mujeres iraníes. 6) inocencia: Todos son sospechosos"
"4";"Atentos @ONU_derechos Que hace #Iran como miembro de los Derechos de las Mujeres.? Nido de Criminales.!
Vivan las Mujeres #Iranies.
#IranianWomen #IranProtests2022 https://t.co/tK66KFEPgY"
"5";"@sandraborda Politóloga, enseña y recomienda usted diplomacia al ""ritmo"" de twitter  o  es solo una falsa solidaridad con el sufrimiento de las mujeres iraníes para hacer oposición  al Gobierno colombiano?"
"6";"Ya casi, ya casi, la que calla ante las mujeres victimas en Colombia se vuelve feminista por las mujeres iraníes. Endiosa tanto a Petro que puede pedirle que apague el sol, aún si él no sabe que el sol se esta incendiando. https://t.co/mMNI8J9Dfj"
"7";"@avestruzeterea @jccruzr #FreewomenIran #BoicotQatar2022 , aunque sea 20 segundos, que sepan las mujeres iraníes que no están solas @ONUMujeres @CIJ_ICJ impidan las vejaciones en las que viven millones de mujeres y niñas en #Iran"
"8";"Che, y las chicas con pañuelitos verdes no marchan por las mujeres iraníes ?"
"9";"¿Cree que los bárbaros franceses que violaron a la esposa del comandante de los independentistas argelinos y le tomaron una foto están preocupados por la libertad de las mujeres iraníes?

El mundo es tan ridículo... https://t.co/6b0W9BDhQe"
"10";"@LatinMansion @sophie0885 Efectivamente no creo que sea irani porque ni en privado pueden tener piercing. Pero también estoy de acuerdo que el gesto y el apoyo a las mujeres iranies es muy valioso"
"11";"@malepichot Por eso mismo, es que deberíamos llenar las redes en apoyo a la lucha de las mujeres iranies, con sus fotos o textos, como ellas están pidiendo. Pero parece que a las feministas argentinas, les cuesta criticar a Irán."
"12";"@LatinMansion Perdonen si soy ácido,pero no hemos salído de esta pesadilla chavísta y vamos a ayudar a las mujeres iraníes a salir del yugo satánico del Islam que es peor?"
"13";"¿Que decir entaches de las mujeres iraníes cortándose el cabello? https://t.co/RHjvzxUkUf"
"14";"¿Ud. cree que los bárbaros franceses que violaron a la esposa del comandante de los independentistas argelinos para luego exponerla en una foto estén preocupados por la libertad de las mujeres iraníes? https://t.co/NETt6NerQn"
"15";"@Miss_Marga_ @republicamurcia Dile a esa chica que se libere, que aquí no somos como los iraníes que se puede quitar el velo. Muchas mujeres y hombres están dejando su sangre en Irán como para que venga una aquí con el velo puesto. Haz el favor, díselo, ayúdala"
"16";"@daniel_chacon10 y ojo: no es que uno por ejemplo no le precupe que tristemente los indices de vioencia aumenten o lo de Qatar, es que no sirve de nada la pose o dejar de verlo. 

Es como la ridiculez de cortarse un mechoncito en solidaridad con las mujeres iranies"
"17";"Para mujeres valientes, las iranies
Una joven iraní sin el velo obligatorio es reprimida por más de una docena de agentes de seguridad
Se escapa y continúa su protesta https://t.co/KvZsSBkvwx"
"18";"Situación en el mundo: Luego de que las mujeres iraníes decidieran quitarse el hiyab y romper los muros que dividían los hombres de las mujeres, ahora el gobierno ha tomado represalias decidiendo con mayoría de votos matar a quienes auspician el desorden, sin embargo"
"19";"@doliveros124 @lalogitud ¿Qué hicieron esas activistas cuando la teocracia iraní asesinó a Mahsa Amini?

Pensé que rodearían a las embajadas de Irán en sus países para apoyar las protestas de las mujeres iraníes, pero se volvieron invisibles las activistas del pañuelo verde."
"20";"Dos meses después del comienzo de las protestas por el asesinato de Mahsa Amini en Irán, el presidente francés, Emmanuel Macron, recibió a cuatro mujeres activistas iraníes para dialogar sobre la revolución feminista que vive el país.
https://t.co/GowWCRRowh"
