"";"full_text"
"1";"La Justicia prohíbe a Correos emitir el sello sobre el centenario del Partido Comunista de España 

https://t.co/jXaEto3xpk"
"2";"<U+0001F534><U+0001F4F0> VOX lleva a Europa la denuncia del sello comunista de Correos y pide la reprobación pública del Gobierno. https://t.co/KgpCV4Y0AK"
"3";"<U+0001F534>SUSPENSIÓN DE URGENCIA | Un juzgado frena la emisión del sello conmemorativo del Partido Comunista de España prevista por Correos https://t.co/BheTkMJymg"
"4";"La decisión de la magistrada del juzgado 30 de lo Contencioso-Administrativo de Madrid llega tras una petición de Abogados Cristianos. https://t.co/btFkVtwAwo"
"5";"@JavierVillamor Creo que te lo dan junto con el sello comunista en correos"
"6";"Yo quiero el sello conmemorativo de Correos para estamparlo en una camiseta y lucirlo!
El Partido Comunista de España cumple cien años https://t.co/00R0DirE58 a través de @nuevatribuna"
"7";"@MonederoJC @PODEMOS @IdiazAyuso A ver… hace unos días con el sello de correos defendíais el abrazo comunista a la Constitución. Hoy la Constitución es franquista. Podéis dejar la incoherencia a un lado o la ideología no lo permite?"
"8";"<U+0001F535>Tras la denuncia de @AbogadosCrist, un juez ha decidido suspender la emisión del sello de Correos que conmemoraba el centenario del Partido Comunista. Sobre ello hemos hablado con @PoloniaCas, presidenta de la asociación<U+2B07><U+FE0F> https://t.co/1yA2X8JqEU"
"9";"Una juez suspende la emisión del sello comunista de Correos,la denuncia fue puesta por la asociación de abogados cristianos,bravo¡!."
"10";"@JFitzEdwards El partido comunista se fundó en 1921, aunque la escisión fue en el 20. Llegan al menos un año tarde a celebrar el aniversario. Correos está en la ruina... Es el ejemplo de una empresa mal gestionada. Todo un desastre, reconociendo ese partido cierta dignidad contra Franco"
"11";"#LoMásComentadoHoy Una jueza paraliza el sello comunista de Correos y cunde la polémica https://t.co/0gjBzDbind"
"12";"La vergüenza de de un correos que debería aplaudir la democracia y Libertad, en cambio aplaude la Sangre Causada por el Maldito Comunismo.
El presidente de correos un amigo de Sánchez, con éstos tipos quién Se fía de correos teniendo un Comunista al frente. https://t.co/XHjHXaP6gO https://t.co/fBenbX1SEa"
"13";"<U+274C><U+0001F4EE> Correos no ha decorado los buzones con el símbolo comunista. 

<U+2705> @Correos confirma que se trata de un montaje. 
https://t.co/Io3Rxu865x"
