"";"full_text"
"1";"<U+203C><U+FE0F> La jueza levanta el veto a la distribución del sello del Partido Comunista

La misma magistrada que hace días estimó las medidas cautelarísimas pedidas por Abogados Cristianos ahora estima los argumentos de Correos y permite la distribución del sello
https://t.co/AYvb32l7wu"
"2";"El sello conmemorativo de los 100 años del Partido Comunista de España se puede volver a vender. La jueza ha rechazado las “razones de orden político” alegadas por Abogados Cristianos https://t.co/uFD99XLco9"
"3";"La misma magistrada que aceptó las cautelarísimas de Abogados Cristianos ahora estima los argumentos de Correos y vuelve a permitir la circulación del sello conmemorativo del centenario del Partido Comunista
https://t.co/AYvb32CIV4"
"4";"Por favor, @Correos, retiren el sello son simbología comunista. No permitamos que se ensalce una ideología con 100 millones de muertos a sus espaldas. https://t.co/viEuysDRH3"
"5";"@FonsiLoaiza Permite que correos ponga el logo comunista en toda España y por qué no podrían permitir esto?"
"6";"@elpce @Correos La jueza del PP, que ha prohibido la venta de sellos conmemorativos por el centenario del partido comunista español, no irá a la misa del 47 aniversario de la muerte de franco, pero la verá por video conferencia, que han puesto de moda Ayuso y la ultraderecha."
"7";"Bueno, pues gracias a Abogados Cristianos (ni cristianos ni abogados jajajja) y a su publi, ya me he comprado unos cuantos sellos del centenario del Partido Comunista <U+0001F973> pa mí y pa repartir en mi entorno <U+0001F60E>

<U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D> <U+262D>

https://t.co/J5XQlG4uSc"
"8";"Compra el sello del centenario del PCE, Partido Comunista de España 1921-2021 (pack de 5) | Correos Market | Correos Market https://t.co/jnnNeDN9sB a través de @Correos"
"9";"@elpce @Correos No sois un partido comunista de verdad. Sois un fraude monumental y una vergüenza para quienes de verdad lucharon y luchan por ideales comunistas y socialistas, que yo no comparto.También sois traidores a la República entregando ojete a Borbones.HEMEROTECA https://t.co/BkC8nN5kS4"
"10";"Justicia permite finalmente la emisión del sello del Partido Comunista tras ser bloqueado hace una semana <U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F>

La titular del juzgado 30 de lo Contencioso-Administrativo de Madrid, ha decidido dejar sin efecto la suspensión cautelar de la emisión del sello de Correos que conmemora https://t.co/Ju0R6iHTMj"
"11";"Top story: Compra el sello del centenario del PCE, Partido Comunista de España 1921-2021 (pack de 5) | Correos Market | Correos Market https://t.co/CBrC1nzS6O, see more https://t.co/ufofXI2A3P"
"12";"@Pollitolaqhl Creo que llegaste tarde, lo vuestro son las mentiras, dejad d hacer el ridiculo
https://t.co/lQ68SPsrBR"
