"";"full_text"
"1";"Las palabras de @HectorBellerin acerca del Mundial de Qatar 2022: solo nos queda aplaudir <U+0001F44F><U+0001F3FC>, ¡grande! #GQHombresDelAño https://t.co/S65J6MYSdV"
"2";"Nos vamos a Qatar!! https://t.co/YX0YpHaYXW"
"3";"Modifican los Derechos Humanos para adaptarlos al mundial de Qatar
https://t.co/r60sNnbEox https://t.co/uqmPKm3kqs"
"4";"@C0N5UEL0 
MAMÁ CUIDADORA 
Te invito a leer mi columna <U+0001F447>https://t.co/V5FGP6RX58 vía @elquintopoder

#Qatar2022 #cuidadoras #cuidadora #Qatar #DiaInternacionalDelHombre #DiaDelHombre #DDHH"
"5";"#Qatar2022 Messi se entrenó diferenciado de sus compañeros a tres días del debut https://t.co/ChPy4ibuWL"
"6";"Todos los días tiran fuegos artificiales en Qatar"
"7";"@therealbuni Tuvieron 8 años para estar jodiendo con que no se hiciera en Qatar, pero recién ahora a un dia de que empiece se ponen gedes como si realmente les importara"
"8";"Igual me parece algo muy cagado que la gente que más se queja de que no vendan alcohol en los estadios de Qatar, es la gente que no fue a Qatar. Pinches alcohólicos mamadores."
"9";"Increible que se escucharán abucheos en la recta principal en las entrevistas post Qualy
Por cierto muchas banderas mexicanas irán igual a Qatar no queda tan lejos #AbuDhabiGP"
"10";"@AlertaNews24 Para haberle otorgado a Qatar para organizar el mundial, se sobornó muchos delegados. Porque hay un grave problema de culturas, lo cual pienso que este mundial va a traer problemas económicos a varias empresas. En conclusión un desastre."
"11";"<U+0001F437>- El Pueco en Qatar. https://t.co/ETWjzadVbQ"
"12";"#19Nov |Marcos Luna “Chávez vuelve al combate con Rafael Ramírez”, ¡estamos de acuerdo!, el madurismo teme frente a una fuerza socialista verdadera.

#RafaelRamirez #Venezuela #Qatar #Esequibo 
<U+2B07><U+FE0F>
https://t.co/DSsG3J83sZ"
"13";"@ballesterosmag @xTouzen @felipeneos @90sfootball Esperate a ver donde va a llegar Qatar..."
"14";"@sweetwickedd @taegisgod Coachella, Dubai, Brasil, USA etc pq en ese momento sus artistas que los hacen ver cómo buenos pq se negaron a cantar pq no se negaron a actuar en esos lugares tmb? Si tmb son igual o peores que Qatar, los que se van a presentar en Qatar actualmente solo es por trabajo, así como"
"15";"Estos son los horarios del Mundial de fútbol Qatar 2022 en Venezuela (+Calendario completos) https://t.co/bQ9evlMnTO"
"16";"@RAFAELA00286280 Yo los tengo y no me interesa.  Qatar en si , no me interesa conocer. 
Prefiero vivir en austeridad y no dejar rollos a los hijos pa luego."
"17";"@m_ebrard Primer Mexicano sancionado en Qatar, 30 latigazos en la plaza pública por haber introducido una botella de alcohol a ese país. <U+2B05><U+FE0F><U+2B05><U+FE0F><U+2B05><U+FE0F><U+2B05><U+FE0F>
Además de ridícula Marcela, que dices a esto??? Si ya nos das pena mundial<U+0001F92E>"
"18";"La crítica a que al mundial en Qatar no debe ser a políticas concretas (si es que así es). Eso se puede criticar en USA/Can/Mex. La crítica al mundial de Qatar debe ser porque es un país injusto desde sus cimientos. Cosas muy distintas. https://t.co/Y3TCrCwfUF"
"19";"El posible 11 de Argentina para su debut en Qatar 2022 frente a Arabia Saudita https://t.co/p0J4dgEIcf"
"20";"Shakira decidió no ir y se le respeta, Dua Lipa decidió no ir y se le respeta 

A ver este chico Maluma fue a Qatar y tiene todo el derecho de hacerlo, cantar es lo que le da dinero, tiene todo el derecho del mundo de firmar un contrato para presentarse allá o no. Simple."
"21";"Especial del Mundial 2022 de Qatar: Todo lo que tienes que saber sobre la cita mundialista https://t.co/SGcEyxxMDp"
"22";"@moiss1_jos @Azul_Blaugrana @InvictosSomos Se hizo en Francia, eeuu, Inglaterra, países que violaron mil veces más los derechos humanos que Qatar, pero como no hay mala prensa hacía esos países nadie dice nada"
