"";"full_text"
"1";"“Esta valiente niña iraní de la otrora conservadora ciudad de Mashhad camina sin velo por la calle en medio de las protestas contra el régimen.

El miedo entre los iraníes se ha ido. Esta revolución está liderada por mujeres.”

#IranRevolution 
#MahsaAmini https://t.co/qCF1Mp98We"
"2";"La valentía de las mujeres iraníes es un ejemplo para el mundo. Tenemos el deber de poner nuestra voz a su disposición. Hoy hemos estado reunidas con @amnistiaespana y activistas iraníes para intentar aportar nuestro granito de arena. No pararemos. https://t.co/I7CJHi1q1s"
"3";"IRÁN | Las periodistas iraníes, más perseguidas que nunca

<U+25B6><U+FE0F> El 44% de los periodistas detenidos en Irán son mujeres, algunas de ellas amenazadas con la pena de muerte

<U+25B6><U+FE0F>  Irán se ha convertido en la tercera mayor cárcel de periodistas del mundo
<U+0001F449>https://t.co/q0iaZN9zsX https://t.co/QP8rEOktPA"
"4";"@UNRWAes ¿No queréis ninguna firma para solidarizaros con el pueblo libanés, sudanés, israelí, yemení, mujeres iraníes,...?, ¿no?. ¿Sólo queréis solidarizaros con el pueblo palestino?"
"5";"<U+0001F1EC><U+0001F1E7> Canciller británico: Las mujeres iraníes <U+0001F1EE><U+0001F1F7> hacen frente a su maltrato por parte del régimen."
"6";"“Resulta decepcionante la débil e insuficiente presión internacional para respaldar unas protestas en Irán que reclaman la libertad de las mujeres. Las iraníes capitanean un movimiento que desafía a un régimen autoritario y pagan sus consecuencias”. 
 https://t.co/xN0ZbbeEdI"
"7";"Y ella es una figura que representa un Estado, aunque las mujeres iraníes estén protestando contra el hiyab, es parte del protocolo diplomático que ella lo use en una visita oficial a Argelia. <U+0001F447>"
"8";"VENEZUELA APRENDAMOS DEL EJEMPLO QUE LAS MUJERES IRANIES ESTÁN DANDO POR LOGRAR SU LIBERTAD!

 ""Se endurecen las protestas en Irán: manifestantes incendiaron un seminario en Qom"".

<U+0001F6A8>TODOS A LA CALLE HASTA OBTENER LA SALIDA DEL TIRANO!
#VenezuelaEnDesobediencia
#VenezuelaNoVota https://t.co/15hRFMy8Wd"
"9";"@Natalia_Folk @iAbo6y Las mujeres iraníes están despertando y eso les jode."
"10";"Las feministas madrileñas se suman a la lucha d las mujeres q reclaman su derecho a 1 vida en libertad y sin violencia, y contarán con la presencia d compañeras dl movimiento d mujeres iraníes.
Madrid: Manifestación contra la VM el 25N https://t.co/RKVZj2YgeL  @TFeminista_"
"11";"@ShirleyVarnagy @CircuitoOnda Buenos días. Como una mujer periodista, no cree que es hora de destacar las protestas de las mujeres (y hombres) iraníes contra la República Islámica de Irán y hablar abiertamente con los políticos para limitar o detener su relación con el gobierno islámico?
#<U+0645><U+0647><U+0633><U+0627>_<U+0627><U+0645><U+06CC><U+0646><U+06CC>
#OpIran"
"12";"Libertad para las valientes mujeres iraníes abandonadas totalmente por el hipócrita feminismo cobarde de sofá, chiringuito y salón https://t.co/vYGCvM88Vb"
