"";"full_text"
"1";"Sánchez no tiene límites y ha entendido que puede mercadear con nuestro Estado de derecho en beneficio propio.

Hablamos de la derogación del delito de sedición para que los socios de Sánchez no pasen por la cárcel.

<U+0001F5E3><U+FE0F> Entrevista a @Mtelladof en @okdiario
https://t.co/Mcr7KH9qMR https://t.co/uGZMslFlQp"
"2";"¿Qué te parece que Sánchez tenga muchísima prisa por eliminar el delito de sedición, beneficiando a sus socios delincuentes,  y sin embargo, reclame “esperar” para reformar la ley del “sí es sí” mientras violadores y pederastas salen a la calle o ven rebajadas sus condenas? https://t.co/upiEZAcnBJ"
"3";"De la tragedia de la valla, a la supresión del delito de sedición, la rebaja del delito de malversación, nos catapultamos a la ley del ""solo sí es sí""

Catastróficas decisiones en perjuicio de ciudadanos, FCSE, nuestra democracia, el ordenamiento constitucional y judicial. https://t.co/zXdiVMuStA"
"4";"@fcogomedo @AranzazuAbogad1 @ReyesFdez @jessikarojano @IgualdadGob @IreneMontero ¿""juristas""?...UN jurista, que es el único que se cita, el mismo que cree que no hubo delito de sedición, que Oltra no hizo nada mal y que la sentencia de los ERE es ""desatino"" y está a favor del indulto."
"5";"Puigdemont se aferra ahora a la supresión del delito de sedición para evitar la cárcel | Diario Sur https://t.co/bqfcnFNGPW"
"6";"@Clapmarius @ismaelquesada @IdiazAyuso Pues no estaría mal conocer el proyecto del PSOE para España, a punto de entrar en su último año de legislatura. Por ahora tenemos:
- derogación del delito de sedición y malversación
- indulto a independentistas
-privilegios a Pais Vasco y Cataluña"
"7";"Quiero que sea Irene Montero quién haga la reforma del delito de sedición.
Igual acaba metiendo a los golpistas de vuelta en la cárcel y extraditando a Puigdemont. Y acaban con cadena perpetua."
"8";"La reforma del Código Penal criminaliza las ocupaciones de oficinas. Va contra las acciones de protesta de la PAH en sedes bancarias sin necesidad de que medie violencia para que sea delito entrar en un local sin el permiso de su propietario.
https://t.co/fdpMNLE7Lt"
"9";"@iescolar Esta el cuento de Pinocho o de Pinocha, ya tenemos escusa para ir al banco de España con una media y una recortada .. si es que a mi no me lo advirtió nadie ..y total me van a modificar al final también el delito de atraco después de el de sedición malversación el si es si u otro"
"10";"@SimancasRafael Tu no cumples con la Constitución y cobras. El delito de sedición derogarlo es gobierno de autor. Es decir, crear leyes en beneficio propio y de tus socios. Eso haceis5"
"11";"Vox concentra a 300 personas en Barcelona en su protesta por la reforma de la sedición https://t.co/LvME1lPl5L"
