"";"full_text"
"1";"Las personas LGTBi deberán avisar de su orientación sexual al SEPE para ser prioritarias en las oficinas de empleo https://t.co/GeVmpRBzb7"
"2";"La Ley de Empleo que está preparando el PSOE junto a Yolanda Díaz obligará a los LGBT a identificarse como tales para poder tener prioridad en el acceso a puestos de trabajo por delante de los ciudadanos no LGBT. 

Dos despropósitos en uno. https://t.co/eoiFsp81tj"
"3";"Nueva polémica en el Ministerio de Trabajo: ¿la comunidad LGTBI tendrá prioridad a la hora de encontrar empleo? https://t.co/qFkESGKBx2 https://t.co/7XzNxhIsvB"
"4";"#MalditaTeExplica

El proyecto de Ley de Empleo y el ""trato prioritario"" a las personas LGTBIQ+ en la búsqueda de empleo
 https://t.co/pw4CUNK3wN"
"5";"Ésto es la prioridad para ellos, no la falsedad que usaban al inicio, según decían, todo era a favor de las mujeres.  https://t.co/VhNuiZDfjB"
"6";"Esto <U+2B07><U+FE0F> https://t.co/mFHaSvcZ0o"
"7";"<U+203C><U+FE0F>CUIDADO, ese NO ES EL OBJETIVO. ABRIR LOS OJOS. NO DEJARSE ENGAÑAR 
Las personas @LGTBIGob  deberán avisar de su orientación sexual al @empleo_SEPE  
https://t.co/BLhxiFEIDC @sextaNoticias @informativost5 @noticias_cuatro @A3Noticias @InformativosTM @eslamananadeFJL"
"8";"¿Quién me lo aclara? Según la C.E. no se puede “discriminar” a nadie por condiciones personales, lo que incluye la orientación sexual.. ¿pero si se puede beneficiar?¿No es que al beneficiar a unos discriminas a otros?<U+0001F914>
Me pierdo en algo pero soy rubia<U+0001F926><U+0001F3FC><U+200D><U+2640><U+FE0F><U+0001F62C>
https://t.co/TphFvi5kiD"
"9";"<U+203C><U+FE0F>CUIDADO, ese NO ES EL OBJETIVO. ABRIR LOS OJOS. NO DEJARSE ENGAÑAR 
Las personas @LGTBIGob  deberán avisar de su orientación sexual al @empleo_SEPE  
https://t.co/BLhxiFEIDC @sextaNoticias @informativost5 @noticias_cuatro @A3Noticias https://t.co/sycolS0fbf"
"10";"<U+0001F449><U+0001F3FB>Nos preguntáis si las personas LGTBI deberán comunicar su orientación sexual al SEPE para ser “prioritarias” en las oficinas de empleo https://t.co/QHLoJzIQnv vía @Newtral"
"11";"Personas LGTBI que busquen empleo no deben informar al SEPE - Newtral https://t.co/wIA1mchcPg"
"12";"Las personas LGTBI podrán avisar al SEPE de su orientación sexual para buscar empleo ... - https://t.co/zs0ISntjYl #GoogleAlerts"
"13";"@Fran_Guerrero82 Papá, como no eres funcionario, mejor intentar trabajar, pues si pasas 4 meses en casa seguro que te envían al SEPE y como no eres lgtbi no encontrarás trabajo."
"14";"El SEPE dará prioridad a las personas LGTBI en la búsqueda de empleo con una declaración jurada sobre su orientación sexual https://t.co/G8kWzzGKpo vía @20m"
"15";"Oficialmente el @PSOE me considera minusválido por ser homosexual #homofobia 
 https://t.co/O0WG9P8iIL"
"16";"<U+0001F3F3><U+FE0F><U+200D><U+0001F308> Nos preguntáis si las personas LGTBI deberán comunicar su orientación sexual al SEPE para ser “prioritarias” en las oficinas de empleo

https://t.co/XVabenS44k"
"17";"La realidad de los colectivos prioritarios en el SEPE y el titular de El Español sesgado hacia el colectivo LGTBI https://t.co/HbsT0CRkFy https://t.co/ZgMdkP7Jsv"
"18";"Me informan de que los seres LGTBI tendrán prioridad para el acceso a la atención en el SEPE y en  la obtención de empleo por su mediación (¡van listos..!). Ello supone otorgar a este grupo de personas un cierto grado de deficiencia o discapacidad.<U+0001F928> ¡Cielos,sigan roncando!<U+0001F605> https://t.co/xre9lVj2xs"
"19";"La nueva Ley de Empleo desata la polémica al pedir a las personas LGTBI que comuniquen su condición sexual al SEPE para gozar de preferencia en las listas de empleo https://t.co/DuICzjP4wI"
"20";"El proyecto de Ley de Empleo y el ""trato prioritario"" a las personas LGTBIQ+ en la búsqueda de empleo https://t.co/ub5JOyveck vía @maldita https://t.co/Bnp4Ia4X5q"
"21";"Los LGTBI tendrán que informar al Sepe sobre su condición para recibir un trato especial https://t.co/fMFaqDlgt9"
"22";"@SaraBallester18 Buenos días Sara y vas a tener que explicarles que si buscan empleo tienen menos derechos que el colectivo LGTBI. https://t.co/xGpUqppD1W"
"23";"El SEPE dará prioridad a personas LGTBI para enviarles ofertas de empleo.

¿Por qué? ¿Se tiene más derecho al trabajo por tu orientación sexual?

¿Pero esto qué tonteria es?

https://t.co/1apyxGoaZ4"
"24";"@tomascasascm O la de los LGTBI del SEPE, o la los trans en los deportes y vestuarios de mujeres, o la de las oleadas de inmigrantes expulsados de Italia que nos vamos a cagar, verdad Tomas?. Debe ser por lo de Madrid.."
"25";"@AranguezTasia De echo con la ley Lgtbi ahi  discriminación a la hora de conseguir trabajo en el SEPE. Cualquiera puede decir que se considera dentro del grupo que tiene preferencia a la hora de conseguir puesto .
Puesto que solo vale con sentirse , no con serlo en realidad , es una chapuza."
"26";"Nueva polémica en el Ministerio de Trabajo: ¿la comunidad LGTBI tendrá prioridad a la hora de encontrar empleo?, por @beagarciagom https://t.co/taNYkKb3sI vía @libre_mercado"
"27";"Nueva polémica en el Ministerio de Trabajo: ¿la comunidad LGTBI tendrá prioridad a la hora de encontrar empleo?, por @beagarciagom https://t.co/taNYkKsERi vía @libre_mercado"
"28";"m'agradaria saber si és cert lo del tema del registre de persones LGTBI+ a la Sepe; sincerament em sembla increíble esta distinció."
"29";"@martinvars En esto no estoy de acuerdo, estamos se supone en democracia y el gobierno actual no está hundiendo económica e institucionalmente. Nos saltamos el artículo 14 de nuestra constitución: igualdad de sexos ( ley VG)  y de orientación sexual en muchas leyes. 

https://t.co/qSfEJysc2C"
"30";"EMPLEO. El SEPE dará prioridad a personas LGTBI en la búsqueda de empleo https://t.co/ZYCBybeWZK"
"31";"Un país chulísimo... El SEPE dará prioridad a las personas LGTBI en la búsqueda de empleo con una declaración jurada sobre su orientación sexual
https://t.co/4bIk8UJ7Ls"
"32";"Hijos de puta.
El SEPE dará prioridad a las personas LGTBI en la búsqueda de empleo con una declaración jurada sobre su orientación sexual https://t.co/QBGV4N5XAV vía @20m"
"33";"Ahora resulta que esta gente los tratan de discapacitados , los lgtbi primeros en lista para búsqueda de empleo ..
La verdad con @IgualdadGob
Da igual todo , bueno si sois gays  lesbianas , etc , que sepáis que os tratan como discapacitados
© #javierjerez 
https://t.co/BnYEVvpD8c"
"34";"@EEr6919 https://t.co/1fNxqPcFpp toma. Tragabulos. Prioridad le van a dar a mis cojones <U+0001F923>"
"35";"@jippiifriki Claro claro... https://t.co/EWegkYRUvW"
"36";"¿Por qué las personas LGTBI, en particular trans, tienen prioridad en las oficinas de empleo del SEPE?
- Violacion de la ley de protección de datos
- Viokscion de la Constitución. Todos somos iguales 

#LaSilenciosaCat 
#EquiparacionYa 
#LaSilenciosa<U+0001F1EA><U+0001F1F8> https://t.co/7x1KCpx3bp"
"37";"Un buen abogado que deja ver du opinion de la discriminación del SEPE, por prioridad a lgtbi ¡Echa un vistazo al vídeo de Sergio Lucena! #TikTok https://t.co/HdiUCjgecY"
