"1";"Los futbolistas de Irán se niegan a cantar su himno en apoyo a la lucha de las mujeres Iraníes.   Mucha valentía hacer esto en la #FIFAWorldCup . Que el mundo sepa que en Irán están discriminando, ejecutando y reprimiendo a las mujeres. https://t.co/ybt1EYEb9v" 
"2";"DIRECTO Mundial | Antes del partido entre Inglaterra e Irán, los aficionados iraníes han aprovechado el momento del himno para pitar como protesta por la situación política del país. Algunos han portado esta pancarta de apoyo a las mujeres  #Qatar2022 https://t.co/TEfRkkdfZJ https://t.co/OZW2y6LAUt" 
"3";"“Es increíble cómo muchas mujeres, sobre todo las jóvenes, salen a la calle sin velo. Lo nuestro es una revolución, pero nuestra lucha no es solo por esa prenda"". Las autoridades de Irán se ven obligadas a tolerar el creciente abandono del hiyab https://t.co/eCwsi0baUt" 
"4";"@delchiiito @azaharaortizg Mejor dicho las mujeres iraníes. A ellos no les encarcelan por no llevar velo o les matan.  Pero se enfrentan a penas de cárcel o muerte por este desplante defendiendo la libertad de las mujeres. Más valor que toda lo países de postureig con un brazalete" 
"5";"@vox_es Asco de VOX y la gente que aún les vota no tienen ni media neurona, tengo una pregunta ¿Las violaciones a niños de curas os parecen bien? Porque votasteis en contra de investigarlas y de las mujeres iraníes y el velo no habláis no?? <U+0001F911><U+0001F92E><U+0001F92E><U+0001F911>" 
"6";"@Camila_aria @Goal_en_espanol @Horseman6709 Lo mismo noté. Hasta en el partido de Irán se veía un montón de mujeres iraníes en el estadio." 
"7";"Y por otro lado, ¿ qué diablos nos importan las mujeres iranís o del magreb?. ¿ Que Ayuso se tiene que dar bombo y glamour y las usa deliberadamente como buena bestia humana con tetas. El islam ha logrado impedir la degeneración occidental. Será por algo https://t.co/9anEj9FPbS" 
"8";"Despues de más de 18 años, acusando en FALSO a millones de hombres y condernando a miles de INOCENTES, no acaban nunca con la violecuencia machista Y eso es así porque no EXISTE, puede lo contrario, caerían a día 300 por venganja o justicia.  https://t.co/9anEj9FPbS" 
"9";"<U+0001F1EE><U+0001F1F7> Las mujeres iraníes merecen más y esperaban más de nosotros.  Ellas han tenido el valor de romper el silencio ante un régimen que utiliza la pena de muerte para reprimirlas.  Nosotros debemos impulsar un mecanismo de rendición de cuentas en @UN_HRC.  @sorayarr_ en #EPlenary https://t.co/tesPFKbZ6r" 
"10";"@ABCDigital SEGURO ESTOS ÑATO SERAN GARROTEADO CUANDO LLEGUEN  NO IMPORTA SERAN LOS ÚNICOS ENTRE TODOS LOS MACHOS IRANÍES Q TIENEN HUEVOS PARA DEFENDER A LAS MUJERES  QUE VERGUENZA" 
"11";"<U+0001F4CC> Han muerto 72 personas en protestas iraníes en defensa de los derechos de la mujer.  https://t.co/hBDpMX3LKC" 
"12";"<U+0001F91D> Ayuso se solidariza con las mujeres iraníes con motivo del 25-N  <U+0001F4AC> Presidirá un acto en Madrid y tendrá el objetivo de mostrar su apoyo a las mujeres iraníes en «la lucha que han emprendido en las últimas semanas»  <U+270D> Isabel Sota  https://t.co/5LkUfdMrJp" 
"13";"Mujeres Iraníes <U+0001F49C><U+0001F49C><U+0001F49C>" 
"14";"@PabloEchenique @PabloIglesias Que maravilla que Iran pueda participar y seguir comprando vuestro silencio cómplice c9n los asesinatos de mujeres iraníes inocentes. https://t.co/Cibl7m60Nx" 
"15";"Pero apoyan a las mujeres iranies." 
"16";"Ayuso, en defensa de las mujeres iraníes; Irene Montero, campaña contra los hombres o 'Acción Comadres', por @oliviamoya https://t.co/j51DJjY9Cw vía @libertaddigital" 
"17";"Ayuso, en defensa de las mujeres iraníes; Irene Montero, campaña contra los hombres o 'Acción Comadres', por @oliviamoya https://t.co/KWX3OkfWMl vía @libertaddigital" 
"18";"Ayuso, otra vez.  https://t.co/jib146Nn68" 
"19";"Enhorabuena @Rsheermohammadi Las #Mujeres #iraníes y vuestra gran valentía sois todo un ejemplo a seguir. #Mahsa__Amini https://t.co/6IHvJeTzqT" 
"20";"@porlagoma Aplausos a esa valentía. No sé qué les pasará a esos valientes cuando regresen a su país, pero lo han dejado claro en cuanto a la libertad para las mujeres iraníes." 
"21";"@ProfeAntonioAR Un gran ejemplo es la revolución de las mujeres iraníes, las cuales se cortan el cabello a través de las RRSS como manifestación por la libre elección del uso del hiyab. De momento, no ha habido consecuencias políticas, pero pienso que la revolución social ganará #RSCD23_UNED_1_1 https://t.co/KcWKYn06mm" 
"22";"Sánchez ensalza la “valentía” de las mujeres iraníes que se juegan “la vida” https://t.co/ouBKnYGl45" 
"23";"La muerte de Masha Amini ha desencadenado protestas por todo Iran, brutalmente reprimidas por las fuerzas de seguridad. Pásate a apoyar a las mujeres iranies con @amnistiaespana #Algeciras y firma. #25N #MahsaAmini #ProtestarEsUnDerecho #MujerVidaLibertad https://t.co/omkUM62Hwm https://t.co/zOB9VdSs1u" 
"24";"(los iraníes opositores al régimen ayatolá, quiero decir) Están demostrando, mujeres y hombres, tener los cojones como el caballo de Espartero." 
"25";"@PabloChami1 @filoyletras Querido Pablito: Tu Cristina pactó con los pone-bombas de la AMIA: los Iraníes. Los Iraníes son lo más opresores de las mujeres. Además, a Cristina le dieron la camiseta 10 con su nombre y Messi quedó paralizado. Saludos  #CristinaEsMufa https://t.co/IZEpYH9JPD" 
"26";"En su partido contra el Reino Unido, los jugadores iraníes tuvieron un heroico gesto en favor de su pueblo, al no cantar su himno nacional, en defensa d los derechos y dignidad de las mujeres iraníes y de los DD.HH. en general. ¿Se atreverán los siniestros ayatolás a castigarlos?" 
"27";"#Regional | ¡Todos con los derechos de las mujeres iraníes! <U+0001F49C>   La @ComunidadMadrid  reconocerá a personas e instituciones que trabajan por la libertad en Irán <U+25B6><U+FE0F> https://t.co/LEs92yR3kR" 
"28";"@PSOE @sanchezcastejon Y ahí estabas tú, salvando a las pobres mujeres iraníes, no te jode, el tonto de los cojones." 
"29";"@eprietoescobar No lo son. Pero confrontamos el machismo o el racismo. Y claro, tenemos que ser buenos <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F>. Pues soy feminista, creo en la igualdad de todas las mujeres, dándome igual si son españolas, iraníes o de cualquier lugar. Se me tachara de racista. Peajes de la vida." 
"30";"La presidenta de la @ComunidadMadrid Isabel Díaz #Ayuso @IdiazAyuso  presidirá un acto en defensa de los derechos de las mujeres iraníes <U+0001F1EE><U+0001F1F7>https://t.co/Od1PqVvTL3 #Iran" 
