|PCA|TSNE|PCA_TSNE
C_model|KMEANS|KMEANS|AGLO
n_clusters|3|10|18
s_score|0.7613472198757394|0.4000811819468604|0.6083002931016894
a_score|25.990000000000002|67.64|59.830000000000005
p_scores|12.0 & 99.4 & 93.3|78.7 & 75.1 & 85.1 & 71.4 & 24.1 & 66.8 & 52.2 & 83.6 & 80.0 & 63.0|86.5 & 92.5 & 70.5 & 89.6 & 95.6 & 84.0 & 88.7 & 91.5 & 90.5 & 83.7 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0
